stop_id,stop_name,stop_lat,stop_lon,zone_id,wheelchair_boarding
189,ท่าเรือเดอะมอลล์ 3;The Mall 3 Pier,13.75434961,100.6077597,189,2
190,ท่าเรือรามคำแหง 29;Ramkhamhaeng 29 Pier,13.75808556,100.6118684,190,2
191,ท่าเรือวัดเทพลีลา;Wat Thepleela Pier,13.75996064,100.6137652,191,2
192,ท่าเรือม.รามคำแหง;Ramkhamhaeng University Pier,13.76155892,100.6183205,192,2
193,ท่าเรือสะพานมิตรมหาดไทย;Saphan Mit Mahat Thai Pier,13.76217104,100.6237186,193,2
194,ท่าเรือวัดกลาง;Wat Klang Pier Pier,13.76343974,100.6335161,194,2
195,ท่าเรือเดอะมอลล์บางกะปิ;The Mall Bang Kapi Pier,13.76462146,100.64344,195,2
196,ท่าเรือบางกะปิ;Bang Kapi Pier,13.76498839,100.6473928,196,2
197,ท่าเรือวัดศรีบุญเรือง;Wat Sriboonreung Pier,13.76727086,100.6515477,197,2
199,BRT ราชพฤกษ์;BRT Ratchapruek,13.71590213,100.4789265,199,1
200,BRT สะพานพระราม3;BRT Rama III Bridge,13.69395518,100.5000692,200,1
201,BRT เจริญราฎร์;BRT Charoenrat,13.69027999,100.5042134,201,1
202,BRT สะพานพระราม9;BRT Rama IX Bridge,13.68823747,100.5154343,202,1
203,BRT วัดดอกไม้;BRT Wat Dokmai,13.68238735,100.5254255,203,1
204,BRT วัดปริวาส;BRT Wat Pariwat,13.67475682,100.5342004,204,1
205,BRT วัดด่าน;BRT Wat Dan,13.67422773,100.5431338,205,1
206,BRT นราราม3;BRT Nararam 3,13.6964483,100.5452801,206,1
207,BRT ถนนจันทน์;BRT Thanon Chan,13.70479086,100.5389431,207,1
208,BRT เทคนิคกรุงเทพ;BRT Technic Krungthep,13.71245288,100.5350134,208,1
209,BRT อาคารสงเคราะห์;BRT Arkan Songkhro,13.71731263,100.5325787,209,1
210,BRT สาทร;BRT Sathorn,13.72137582,100.5305117,210,1
212,SRT กรุงเทพ;SRT Bangkok,13.7392,100.51689,212,2
213,SRT ตลาดใหม่ดอนเมือง;SRT Talatmai Don Muang,13.91468,100.59808,213,2
214,SRT ดอนเมือง;SRT Don Muang,13.91971,100.60102,214,2
215,SRT หลักหก;SRT Lak Hok,13.96584,100.60538,215,2
216,SRT คลองหนึ่ง;SRT Khlong Nhung,14.02334,100.59818,216,2
217,SRT คลองรังสิต;SRT Khlong Rangsit,13.98619,100.60256,217,2
218,SRT การเคหะ กม.19;SRT Khan Keha Khomo Sipkao,13.89837,100.58902,218,2
219,SRT ม.ธรรมศาสตร์;SRT Thammasat University,14.07947,100.58852,219,2
220,SRT โรงพยาบาลรามาธิบดี;SRT RAMATHIBODI HOSPITAL,13.76658,100.52461,220,2
221,SRT แกรนด์ คาแนล;SRT Grand Canal,13.94142,100.60827,221,2
222,SRT รังสิต;SRT Rangsit,13.99064,100.60208,222,2
223,SRT เชียงราก;SRT Chiang Rak,14.05533,100.59265,223,2
224,SRT นวนคร;SRT Nava Nakhon,14.11446,100.58442,224,2
225,SRT ยมราช;SRT Yommaraj,13.75819,100.52126,225,2
226,SRT มักกะสัน;SRT Makkasan,13.75373,100.5474,226,2
228,SRT สามเสน;SRT Sam Sen,13.77944,100.52982,228,2
229,SRT คลองตัน;SRT Khlong Tan,13.74417,100.58982,229,2
230,SRT หัวหมาก;SRT Hua Mak,13.73817,100.64022,230,2
231,SRT บ้านทับช้าง;SRT Ban Thap Chang,13.73288,100.6909,231,2
232,SRT ซอยวัดลานบุญ;SRT Soi Wat Lan Boon,13.72969,100.71825,232,2
233,SRT ลาดกระบัง;SRT Lat Krabang,13.72759,100.74858,233,2
234,SRT หัวตะเข้;SRT Hua Takhe,13.72835,100.78283,234,2
236,SRT คลองหลวงแพ่ง;SRT Khlong Luang Phaeng,13.72018,100.86316,236,2
237,SRT อุรุพงษ์;SRT Urupong,13.75807,100.52825,237,2
238,SRT พญาไท;SRT Phayathai,13.75702,100.53339,238,2
240,SRT อโศก;SRT Asoke,13.75037,100.56254,240,2
241,SRT สุขุมวิท 71;SRT Sukhumvit 71,13.74278,100.60067,241,2
242,SRT พระจอมเกล้า;SRT Pra Chom Klao,13.72826,100.77548,242,2
243,SRT ธนบุรี;SRT Thon Buri,13.76057,100.47888,243,2
244,SRT บางระมาด;SRT Bang Ramat,13.77844,100.45306,244,2
245,SRT ชุมทางตลิ่งชัน;SRT Taling Chan Junction,13.7893,100.44014,245,2
246,SRT บางบำหรุ;SRT Bang Bamru,13.79211,100.47733,246,2
247,SRT บ้านฉิมพลี;SRT Banchimphli,13.79925,100.42059,247,2
248,SRT ศาลาธรรมสพน์;SRT Sala Thammasop,13.801,100.37081,248,2
249,SRT ศาลายา;SRT Sala Ya,13.8026,100.32448,249,2
250,SRT วัดสุวรรณ;SRT Wat Suwan,13.80576,100.28375,250,2
251,SRT คลองมหาสวัสดิ์;SRT Khlong Maha Sawat,13.80892,100.2508,251,2
252,SRT วัดงิ้วราย;SRT Wat Ngiu Rai,13.80808,100.21623,252,2
253,SRT นครชัยศรี;SRT Nakhon Chaisi,13.80629,100.17615,253,2
254,SRT ท่าแฉลบ;SRT Tha Chalaep,13.81232,100.13175,254,2
255,SRT ต้นสำโรง;SRT Ton Samrong,13.82556,100.09131,255,2
256,SRT นครปฐม;SRT Nakhon Pathom,13.82441,100.05938,256,2
257,SRT พระราชวังสนามจันทร์;SRT Sanam Chandra Palace,13.82381,100.04092,257,2
258,SRT โพรงมะเดื่อ;SRT Phrong Madua,13.82235,99.99247,258,2
264,SRT ประดิพัทธ์;SRT Pra Dipat,13.79218,100.53501,264,2
266,SRT กรุงเทพอภิวัฒน์;SRT Bangkok (Krung Thep Aphiwat),13.80559,100.54229,266,2
267,SRT นิคมรถไฟ กม.11;SRT Nikhom Rotphai Khomo Sip-et,13.82331,100.54792,267,2
268,SRT จรัญสนิทวงศ์;SRT Jaran Sanitwong,13.7631,100.47338,268,2
269,SRT พุทธมณฑล สาย 2;SRT Phuttamonthon Sai 2,13.80013,100.39505,269,2
270,SRT วงเวียนใหญ่;SRT Wongwian Yai,13.72461,100.49194,270,2
271,SRT ตลาดพลู;SRT Talat Phlu,13.72082,100.478,271,2
272,SRT คลองต้นไทร;SRT Khlong Ton Sai,13.70706,100.47003,272,2
273,SRT จอมทอง;SRT Chom Thong,13.70174,100.46486,273,2
274,SRT วัดไทร;SRT Wat Sai,13.69107,100.45729,274,2
275,SRT วัดสิงห์;SRT Wat Sing,13.68327,100.44778,275,2
276,SRT บางบอน;SRT Bang Bon,13.66643,100.42885,276,2
277,SRT การเคหะ;SRT Khan Keha,13.66344,100.42553,277,2
278,SRT รางสะแก;SRT Rang Sakae,13.64952,100.40988,278,2
279,SRT รางโพธิ์;SRT Rang Pho,13.63903,100.39801,279,2
280,SRT สามแยก;SRT Sam Yaek,13.63032,100.38817,280,2
281,SRT พรมแดน;SRT Phrom Daen,13.62097,100.37807,281,2
282,SRT บางน้ำจืด;SRT Bang Nam Jued,13.60512,100.36024,282,2
283,SRT คอกควาย;SRT Khok Khwai,13.58691,100.33986,283,2
284,SRT บ้านขอม;SRT Ban Khom,13.5635,100.31401,284,2
285,SRT มหาชัย;SRT Maha Chai,13.54627,100.27669,285,2
286,SRT บ้านแหลม;SRT Ban Laem,13.54189,100.26991,286,2
287,SRT ท่าฉลอม;SRT Tha Chalom,13.53445,100.26695,287,2
288,SRT บ้านชีผ้าขาว;SRT Ban Chi Phakhao,13.52486,100.24091,288,2
289,SRT บางสีคต;SRT Bang Si Khot,13.51571,100.21412,289,2
290,SRT บางกระเจ้า;SRT Bang Krachao,13.50876,100.19737,290,2
291,SRT บ้านบ่อ;SRT Ban Bo,13.5017,100.18083,291,2
292,SRT บางโทรัด;SRT Bang Thorat,13.49467,100.16113,292,2
293,SRT บ้านกาหลง;SRT Ban Ka Long,13.4874,100.13752,293,2
294,SRT บ้านนาขวาง;SRT Ban Na Khwang,13.48582,100.1209,294,2
295,SRT บ้านนาโคก;SRT Ban Na Khok,13.47726,100.10327,295,2
296,SRT เขตเมือง;SRT Ked Muang,13.45684,100.07458,296,2
297,SRT คลองจาก;SRT Khlong Chak,13.55168,100.28932,297,2
298,SRT ทุ่งสีทอง;SRT Thung Si Thong,13.61264,100.36873,298,2
300,SRT บางเขน;SRT Bang Khen,13.84727,100.56063,300,2
301,SRT ทุ่งสองห้อง;SRT Thung Song Hong,13.86013,100.5676,301,2
302,SRT หลักสี่;SRT Lak Si,13.8841,100.58078,302,2
303,ท่าเรือประตูน้ำภาษีเจริญ;Phasi Charoen Dam Pier,13.72211803,100.4681527,303,2
304,ท่าเรืออู่รถเมล์สาย 9;Bus Line 9 Pier,13.7213491,100.4662511,304,2
305,ท่าเรือสะพานประชารัฐ;Phracharat Bridge Pier,13.72043398,100.4632561,305,2
306,ท่าเรือสะพานตากสิน - เพชรเกษม;Taksin-Phet Kasem Pier,13.71866881,100.4583755,306,2
307,ท่าเรือวัดอ่างแแก้ว;Wat Angkeaw Pier,13.71722858,100.4545504,307,2
308,ท่าเรือเพชรเกษม 31;Phet Kasem 31 Pier,13.71399356,100.4450141,308,2
309,ท่าเรือวัดรางบัว;Wat Rangbua Pier,13.71166162,100.4387198,309,2
310,ท่าเรือเพชรเกษม 35;Phet Kasem 35 Pier,13.70956634,100.4324856,310,2
311,ท่าเรือเพชรเกษม 37;Phet Kasem 37 Pier,13.70912766,100.4311873,311,2
312,ท่าเรือเพชรเกษม 39;Phet Kasem 39 Pier,13.70840966,100.4291753,312,2
313,ท่าเรือวัดนิมมานรดี;Wat Nimmanoradee Pier,13.70764386,100.4270264,313,2
314,ท่าเรือเกษตร - บางแค;Kaset-Bangkae Pier,13.70562422,100.4211954,314,2
315,ท่าเรือสะพานกาญจนาภิเษก;Kanchanaphisek Bridge Pier,13.70034455,100.4063386,315,2
316,ท่าเรือวัดม่วง;Wat Muang Pier,13.69542975,100.3925604,316,2
317,ท่าเรือเพชรเกษม 69;Phet Kasem 69 Pier,13.69175942,100.3814286,317,2
318,SRT ลาดใหญ่;SRT Lad Yai,13.43584,100.04498,318,2
319,SRT บางกระบูน;SRT Bang Krabun,13.42292,100.01994,319,2
320,SRT แม่กลอง;SRT Mae Klong,13.40749,99.99849,320,2
321,ARL พญาไท;ARL Phaya Thai,13.75664122,100.5349809,321,1
322,ARL ลาดกระบัง;ARL Lat Krabang,13.7276349,100.7484244,322,1
323,ARL บ้านทับช้าง;ARL Ban Thap Chang,13.73279942,100.6907507,323,1
324,ARL มักกะสัน;ARL Makkasan,13.75083316,100.5612252,324,1
325,ARL หัวหมาก;ARL Hua Mak,13.73798899,100.6451731,325,1
326,ARL ท่าอากาศยานสุวรรณภูมิ;ARL Suvarnabhumi Airport,13.6941335,100.751265,326,1
327,ARL ราชปรารภ;ARL Ratchaprarop,13.75488378,100.5421791,327,1
328,ARL รามคำแหง;ARL Ramkhamhaeng,13.74294206,100.600056,328,1
329,MRT สีลม;MRT Si Lom,13.72936409,100.5373522,329,1
330,MRT บางพลู;MRT Bang Phlu,13.87584835,100.4337842,330,1
331,MRT เตาปูน;MRT Tao Poon,13.80612995,100.5307978,331,1
332,MRT ไทรม้า;MRT Sai Ma,13.87048139,100.4666823,332,1
333,MRT คลองเตย;MRT Khlong Toei,13.72229155,100.5539853,333,1
334,MRT บางซื่อ;MRT BANG SUE,13.80298063,100.539137,334,1
335,MRT บางซ่อน;MRT Bang Son,13.82005423,100.5324266,335,1
336,MRT ลุมพินี;MRT Lumphini,13.72541093,100.5464998,336,1
337,MRT สามย่าน;MRT Sam Yan,13.73249775,100.5294265,337,1
338,MRT บางกระสอ;MRT Bang Krasor,13.86165031,100.5046585,338,1
339,MRT พหลโยธิน;MRT Phahon Yothin,13.81315174,100.5609024,339,1
340,MRT ลาดพร้าว;MRT Lat Phrao,13.80645406,100.5729123,340,1
341,MRT สุขุมวิท;MRT Sukhumvit,13.73766759,100.5614691,341,1
342,MRT สุทธิสาร;MRT Sutthisan,13.79007139,100.5741276,342,1
343,MRT หัวลำโพง;MRT Hua Lamphong,13.73762141,100.5171116,343,1
344,MRT ห้วยขวาง;MRT Huai Khwang,13.77867243,100.5735793,344,1
345,MRT เพชรบุรี;MRT Phetchaburi,13.74933041,100.5634894,345,1
346,MRT กำแพงเพชร;MRT Kamphaeng Phet,13.79777643,100.5481712,346,1
347,MRT วงศ์สว่าง;MRT Wong Sawang,13.82981627,100.5264991,347,1
348,MRT คลองบางไผ่;MRT Khlong Bang Phai,13.89249838,100.4082652,348,1
349,MRT บางรักใหญ่;MRT Bang Rak Yai,13.87667939,100.4449167,349,1
350,MRT พระรามเก้า;MRT Phra Ram 9,13.75734621,100.5652996,350,1
351,MRT รัชดาภิเษก;MRT Ratchadaphisek,13.79885243,100.5746009,351,1
352,MRT สวนจตุจักร;MRT Chatuchak Park,13.80276578,100.5537498,352,1
353,MRT ตลาดบางใหญ่;MRT Talad Bang Yai,13.88115256,100.4092793,353,1
354,MRT แยกติวานนท์;MRT Yeak Tiwanon,13.83954338,100.5149725,354,1
355,MRT สามแยกบางใหญ่;MRT Sam Yeak Bang Yai,13.87473227,100.419364,355,1
356,MRT กระทรวงสาธารณสุข;MRT Ministry of Public Health,13.84848209,100.514724,356,1
357,MRT บางรักน้อยท่าอิฐ;MRT Bang Rak Noi Tha It,13.87489486,100.4559917,357,1
358,MRT สะพานพระนั่งเกล้า;MRT Phra Nang Klao Bridge,13.87031881,100.4802391,358,1
359,MRT ศูนย์ราชการนนทบุรี;MRT Nonthaburi Civic Center,13.86018855,100.5129945,359,1
360,MRT ศูนย์วัฒนธรรมแห่งประเทศไทย;MRT Thailand Cultural Centre,13.7663503,100.5704426,360,1
361,MRT ศูนย์การประชุมแห่งชาติสิริกิติ์;MRT Queen Sirikit National Convention Centre,13.72294083,100.5596975,361,1
362,MRT แยกนนทบุรี 1;MRT Yeak Nonthaburi 1,13.8659547,100.4942559,362,1
363,สวนสราญรมย์;Saranrom Park,13.7473484,100.4956886,363,1
364,วังบูรพา;Wangburapa,13.74549502,100.5027055,364,1
365,วัดช่องลม;Wat Chong Lom,13.70277726,100.54595,365,1
366,ม.เซนต์จอห์น;Saint John's University,13.80968804,100.5600514,366,1
367,รพ.เด็ก;Children Hospital,13.76621479,100.5351582,367,1
368,คริสตจักรสะพานเหลือง;Saphan Lueng Church,13.73484276,100.5233421,368,1
369,ซอยรามคำแหง 43/1;Ramkhamhaeng Road Soi 43/1,13.75897375,100.6169975,369,1
370,ตรงข้ามซอยศูนย์วิจัย;Opposite Soi Soonvijai,13.74484142,100.5837494,370,1
371,โลตัสพัฒนาการ;Lotus's Phatthanakan,13.73639534,100.6355993,371,1
